,Incident_Number,CreateDatetime,Call_Type,Source,Progress,Priority,Dispositions,Block_Address,City,ZIP_Code,NonBerkeley_Address,ObjectId_x,Statute,Statute_Description,Statute_Type,Arrest_Type,Age,Height,Race,Sex,Weight,Case_Number,ObjectId_y
0,2025-00045487,2025/10/06 06:36:30+00,CFS 602L - Trespassing,911 Call,In Progress,Level 3,"RIPA, Arrest only (no Case), Mental Health, Homeless, Primary Case (Case or Cold Theft)",3000 ADELINE ST,BERKELEY,94703.0,,190,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY,Penal Code,Summoned/Cited IBR,29,5 ft. 3 in.,Other,Female,120.0,2025-00045487,66
1,2025-00045481,2025/10/06 06:04:39+00,CFS 484 - Theft,Officer Initiated,In Progress,Level 2,Primary Case (Case or Cold Theft),1400 SHATTUCK AVE,BERKELEY,94709.0,,192,484 (A) - (building),PETTY THEFT OF PROPERTY FROM BUILDING,Penal Code,On-View Arrest IBR,36,5 ft. 8 in.,White,Male,140.0,2025-00045481,69
2,2025-00045467,2025/10/06 03:28:40+00,CFS 484 - Theft,Telephone,Just Prior,Level 2,Primary Case (Case or Cold Theft),1400 UNIVERSITY AVE,BERKELEY,94702.0,,313,666.1(A)(1) (F); 1203.2 - F; 484 (A),Motor vehicle theft: FELONY THEFT WITH 2 PRIOR; PROBATION VIOLATION: REARREST/REVOKE; PETTY THEFT (ALL OTHER),Penal Code; Penal Code; Penal Code,On-View Arrest IBR,30,5 ft. 11 in.,Black,Male,135.0,2025-00045467,72
3,2025-00045601,2025/10/07 00:47:48+00,CFS 20001 - Hit & Run Injuries,911 Call,In Progress,Level 1,"Collision Report, Primary Case (Case or Cold Theft), RIPA",SHATTUCK AVE  &  CHANNING WAY,BERKELEY,94704.0,,375,20001 (A) - F; 23153 (A) - F; 23152 (A); 166 (A)(4),HIT AND RUN RESULTING IN DEATH OR INJURY; DUI ALCOHOL:CAUSING BODILY INJURY; DUI ALCOHOL; CONTEMPT OF COURT: DISOBEY COURT ORDER,Vehicle Code; Vehicle Code; Vehicle Code; Penal Code,On-View Arrest IBR,48,5 ft. 3 in.,Hispanic,Female,145.0,2025-00045601,39
4,2025-00045580,2025/10/06 23:19:12+00,CFS 487 - Grand Theft,Officer Initiated,In Progress,Level 2,"Homeless, Primary Case (Case or Cold Theft)",1800 4TH ST,BERKELEY,94710.0,,387,487 (A); 459,GRAND THEFT (ALL OTHER); BURGLARY - BREAKING AND ENTERING,Penal Code; Penal Code,On-View Arrest IBR,42,5 ft. 4 in.,Hispanic,Female,180.0,2025-00045580,61
5,2025-00045366,2025/10/05 16:20:05+00,CFS 594 - Vandalism,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),1700 EASTSHORE HWY,BERKELEY,94710.0,,448,594(A)(1),VANDALISM:DEFACE PROPERTY,Penal Code,Summoned/Cited IBR,43,5 ft. 7 in.,Hispanic,Male,175.0,2025-00045366,75
6,2025-00045301,2025/10/05 05:17:24+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1400 CARLETON ST,BERKELEY,94702.0,,466,594 (B)(1),VANDALISM ($400 OR MORE),Penal Code,On-View Arrest IBR,37,4 ft. 9 in.,Black,Female,170.0,2025-00045301,82
7,2025-00045296,2025/10/05 04:12:39+00,CFS SUSCIR - Susp. Circ.,911 Call,In Progress,Level 2,"Collision Report, Primary Case (Case or Cold Theft), Arrest only (no Case)",1200 ASHBY AVE,BERKELEY,94702.0,,482,20002 (A); 23152 (A); 148(A)(1),Hit & run property damage: only; owner required info exchange; DUI ALCOHOL; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Vehicle Code; Vehicle Code; Penal Code,On-View Arrest IBR,32,6 ft. 3 in.,Black,Male,190.0,2025-00045296,85
8,2025-00045283,2025/10/05 01:37:13+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft)",ASHBY AVE  &  7TH ST,BERKELEY,94710.0,,499,Warr - Out (M); Warr - Out (M); Warr - Out (M); Warr - Out (M); 23152 (A),Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; DUI ALCOHOL,Penal Code; Penal Code; Penal Code; Penal Code; Vehicle Code,On-View Arrest IBR,58,5 ft. 6 in.,Hispanic,Male,160.0,2025-00045283,88
9,2025-00045133,2025/10/04 03:46:26+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),2400 WARRING ST,BERKELEY,94704.0,,633,273A (A) - F; 273.5 - Agg; 245 (C) - F,WILLFUL CRUELTY TO CHILD: AGGRAVATED INJURY OR DEATH; CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON; ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,37,5 ft. 10 in.,Hispanic,Male,225.0,2025-00045133,92
10,2025-00045122,2025/10/04 02:13:03+00,CFS 242 - Battery,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),1600 SHATTUCK AVE,BERKELEY,94709.0,,644,242; 148(A)(1),BATTERY ON PERSON; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code,On-View Arrest IBR,39,6 ft. 0 in.,White,Male,185.0,2025-00045122,95
11,2025-00045065,2025/10/03 20:18:22+00,CFS 487 - Grand Theft,Telephone,Cold Report,Level 4,Primary Case (Case or Cold Theft),2700 SHATTUCK AVE,BERKELEY,94705.0,,662,1203.2 - F; 11364(A); 10851 (A); 466; 459,PROBATION VIOLATION: REARREST/REVOKE; POSSESS UNLAWFUL PARAPHERNALIA; TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT; POSSESS/ETC BURGLARY TOOLS; BURGLARY - BREAKING AND ENTERING,Penal Code; Health and Safety; Vehicle Code; Penal Code; Penal Code,On-View Arrest IBR,44,5 ft. 11 in.,White,Male,165.0,2025-00045065,63
12,2025-00045350,2025/10/05 11:10:27+00,CFS 415 - Disturbance,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),CHANNING WAY  &  BOWDITCH ST,BERKELEY,94704.0,,769,1203.2 - F; 11377 (A) - M; 11364(A); 166 (A)(4),PROBATION VIOLATION: REARREST/REVOKE; POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Health and Safety; Health and Safety; Penal Code,On-View Arrest IBR,33,6 ft. 0 in.,White,Male,265.0,2025-00045350,78
13,2025-00044709,2025/10/02 00:54:06+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Arrest only (no Case), RIPA",1500 UNIVERSITY AVE,BERKELEY,94703.0,,801,647(F),DISORDERLY CONDUCT:ALCOHOL,Penal Code,Summoned/Cited IBR,60,5 ft. 7 in.,Hispanic,Male,160.0,2025-00044709,124
14,2025-00045014,2025/10/03 15:46:42+00,CFS 415 - Disturbance,Telephone,In Progress,Level 2,"Homeless, Arrest only (no Case)",2100 SHATTUCK AVE,BERKELEY,94704.0,,818,Warr - Out (F),Outside Warrant Felony,Penal Code,Taken into Custody IBR,37,6 ft. 1 in.,White,Male,190.0,2025-00045014,98
15,2025-00044886,2025/10/02 21:39:50+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,"Primary Case (Case or Cold Theft), RIPA",3000 STANTON ST,BERKELEY,94702.0,,934,273AB (A); 243 (E)(1) Simp,CUSTODY/CARE:ASSAULT CHILD-8:GREAT BODILY INJ:RESULT IN DEATH; BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Penal Code; Penal Code,On-View Arrest IBR,26,5 ft. 7 in.,Hispanic,Male,230.0,2025-00044886,104
16,2025-00044669,2025/10/01 22:25:20+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"RIPA, Mental Health, Homeless, Primary Case (Case or Cold Theft)",2800 COLLEGE AVE,BERKELEY,94705.0,,939,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,On-View Arrest IBR,46,5 ft. 11 in.,Black,Male,180.0,2025-00044669,127
17,2025-00044883,2025/10/02 21:17:54+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,Primary Case (Case or Cold Theft),GRAYSON ST  &  7TH ST,BERKELEY,94710.0,,946,1203.2 - F; 530.5 (A); 496D(A),PROBATION VIOLATION: REARREST/REVOKE; GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT ; POSSESS STOLEN VEHICLE/VESSEL/ETC,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,29,6 ft. 2 in.,Black,Male,315.0,2025-00044883,108
18,2025-00044779,2025/10/02 07:32:56+00,CFS WARARR - Warrant Arrest,Officer Initiated,In Progress,Level 6,Arrest only (no Case),2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,975,Warr - BPD (F),Felony Warrant,Penal Code,Taken into Custody IBR,23,5 ft. 9 in.,White,Male,125.0,2025-00044779,117
19,2025-00044858,2025/10/02 19:45:00+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,Arrest only (no Case),1500 ASHBY AVE,BERKELEY,94703.0,,1005,Warr - Out (F),Outside Warrant Felony,Penal Code,Taken into Custody IBR,29,5 ft. 4 in.,White,Female,150.0,2025-00044858,111
20,2025-00044825,2025/10/02 16:28:18+00,CFS TROV - Rest. Order Vio,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),2000 STUART ST,BERKELEY,94703.0,,1042,11377 (A) - M; 11364(A); 166 (A)(4),POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER,Health and Safety; Health and Safety; Penal Code,On-View Arrest IBR,38,5 ft. 7 in.,Black,Male,160.0,2025-00044825,114
21,2025-00044716,2025/10/02 01:25:50+00,CFS SUSPER - Susp. Person,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,1096,666.1(A)(1) (F); 484 (A) - (Shoplift),Motor vehicle theft: FELONY THEFT WITH 2 PRIOR; PETTY THEFT SHOPLIFTING,Penal Code; Penal Code,On-View Arrest IBR,47,5 ft. 11 in.,Black,Male,165.0,2025-00044716,119
22,2025-00044651,2025/10/01 20:24:48+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, RIPA, Arrest only (no Case)",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,1112,Warr - Out (M); Warr - Out (M); Warr - Out (M); Warr - Out (M); Warr - Out (M); Warr - Out (M); Warr - Out (M),Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Misdemeanor,Penal Code; Penal Code; Penal Code; Penal Code; Penal Code; Penal Code; Penal Code,Taken into Custody IBR,33,6 ft. 6 in.,,Male,230.0,2025-00044651,130
23,2025-00044953,2025/10/03 05:24:48+00,CFS 597 - Cruelty to Animals,911 Call,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",2400 DURANT AVE,BERKELEY,94704.0,,1167,597(A),CRUELTY TO ANIMALS,Penal Code,Summoned/Cited IBR,38,5 ft. 6 in.,White,Male,135.0,2025-00044953,101
24,2025-00044559,2025/10/01 05:20:24+00,CFS 415 - Disturbance,Telephone,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",SAN PABLO AVE  &  CEDAR ST,BERKELEY,94702.0,,1206,166 (A)(4); 148(A)(1),CONTEMPT OF COURT: DISOBEY COURT ORDER; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code,On-View Arrest IBR,23,5 ft. 9 in.,White,Male,125.0,2025-00044559,135
25,2025-00044541,2025/10/01 02:24:10+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",7TH ST  &  POTTER ST,BERKELEY,94710.0,,1227,11370.1(A); 11352 (A); 25400 (A)(1) - F; 32310 (A) - F,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM; TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE; CARRY CONCEALED WEAPON IN VEHICLE; MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE,Health and Safety; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,40,5 ft. 7 in.,Black,Female,300.0,2025-00044541,138
26,2025-00044541,2025/10/01 02:24:10+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",7TH ST  &  POTTER ST,BERKELEY,94710.0,,1227,29800 (A); 11370.1(A); 11352 (A); 25400 (A)(1) - F; 32310 (A) - F,FELON/ADDICT/POSSESS/ETC FIREARM; POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM; TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE; CARRY CONCEALED WEAPON IN VEHICLE; MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE,Penal Code; Health and Safety; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,42,6 ft. 2 in.,Black,Male,175.0,2025-00044541,141
27,2025-00044510,2025/09/30 23:36:42+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",2300 FULTON ST,BERKELEY,94704.0,,1267,459,BURGLARY - BREAKING AND ENTERING,Penal Code,On-View Arrest IBR,31,5 ft. 10 in.,Black,Male,180.0,2025-00044510,144
28,2025-00044374,2025/09/30 04:49:12+00,CFS 1181 - Minor Injuries,911 Call,In Progress,Level 1,"Collision Report, Primary Case (Case or Cold Theft)",DANA ST  &  BLAKE ST,BERKELEY,94704.0,,1309,23152 (B); 23152 (A),DUI ALCOHOL/0.08 PERCENT; DUI ALCOHOL,Vehicle Code; Vehicle Code,On-View Arrest IBR,59,5 ft. 3 in.,White,Female,225.0,2025-00044374,178
29,2025-00044303,2025/09/29 21:59:56+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",2100 ALLSTON WAY,BERKELEY,94704.0,,1323,484 (A) - (Shoplift),PETTY THEFT SHOPLIFTING,Penal Code,Summoned/Cited IBR,54,5 ft. 4 in.,Black,Female,152.0,2025-00044303,181
30,2025-00044303,2025/09/29 21:59:56+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",2100 ALLSTON WAY,BERKELEY,94704.0,,1323,484 (A) - (Shoplift),PETTY THEFT SHOPLIFTING,Penal Code,Summoned/Cited IBR,64,5 ft. 6 in.,Black,Female,145.0,2025-00044303,183
31,2025-00044504,2025/09/30 23:05:45+00,CFS 273 5 - Domestic Violence,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2400 8TH ST,BERKELEY,94710.0,,1333,1203.2 - F; 12022.1- F; 273.5 (F)(1) - F,PROBATION VIOLATION: REARREST/REVOKE; Enhancement; Felony committed while on Bail or O/R; AGG - INFLICT CORPORAL INJURY ON SPOUSE/COHAB W/PRIORS,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,34,5 ft. 5 in.,Black,Female,190.0,2025-00044504,164
32,2025-00044480,2025/09/30 21:00:50+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, Arrest only (no Case)",DURANT AVE  &  DANA ST,BERKELEY,94704.0,,1391,Warr - Out (M),Outside Warrant Misdemeanor,Penal Code,Taken into Custody IBR,40,6 ft. 0 in.,White,Male,165.0,2025-00044480,165
33,2025-00044481,2025/09/30 20:28:34+00,CFS WARARR - Warrant Arrest,Telephone,In Progress,Level 6,"Arrest only (no Case), RIPA",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,1395,Warr - Out (F); Warr - BPD (F),Outside Warrant Felony; Felony Warrant,Penal Code; Penal Code,Taken into Custody IBR,26,5 ft. 2 in.,Black,Female,140.0,2025-00044481,167
34,2025-00044466,2025/09/30 19:30:12+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, RIPA, Arrest only (no Case)",1900 CENTER ST,BERKELEY,94704.0,,1407,Warr - BPD (M); Warr - BPD (M); Warr - BPD (M),Misdemeanor Warrant; Misdemeanor Warrant; Misdemeanor Warrant,Penal Code; Penal Code; Penal Code,Taken into Custody IBR,32,6 ft. 1 in.,Black,Male,180.0,2025-00044466,168
35,2025-00044587,2025/10/01 11:25:05+00,CFS 1067 - Call for Help,911 Call,In Progress,Level 1,MDT Narrative Only,1100 HARRISON ST,BERKELEY,94706.0,,1417,12022.1- F; 11364(A); 166 (A)(4); 459,Enhancement; Felony committed while on Bail or O/R; POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER; BURGLARY - BREAKING AND ENTERING,Penal Code; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,40,6 ft. 3 in.,White,Male,220.0,2025-00044587,133
